SNR_dB,mc_idx,iter_idx,L_val
15.00,1,1,718.0563041
15.00,1,2,717.9103657
15.00,1,3,717.8256301
15.00,1,4,717.6823601
15.00,1,5,717.6199176
15.00,1,6,717.4721732
15.00,1,7,717.4146471
15.00,1,8,717.2627421
15.00,1,9,717.2095962
15.00,1,10,717.053694
15.00,1,11,717.0047917
15.00,1,12,716.84502
15.00,1,13,716.80022
15.00,1,14,716.6367174
15.00,1,15,716.5958605
15.00,1,16,716.4287839
15.00,1,17,716.3916918
15.00,1,18,716.2212169
15.00,1,19,716.1876934
15.00,1,20,716.0140141
15.00,1,21,715.9838457
15.00,1,22,715.8071732
15.00,1,23,715.7801306
15.00,1,24,715.6006919
15.00,1,25,715.5765315
15.00,1,26,715.3945681
15.00,1,27,715.3730331
15.00,1,28,715.1887998
15.00,1,29,715.1696222
15.00,1,30,714.9833851
15.00,1,31,714.9662871
15.00,1,32,714.7783223
15.00,1,33,714.763018
15.00,1,34,714.5736097
15.00,1,35,714.5598074
15.00,1,36,714.3692458
15.00,1,37,714.3566492
15.00,1,38,714.1652291
15.00,1,39,714.1535397
15.00,1,40,713.9615586
15.00,1,41,713.950477
15.00,1,42,713.7582329
15.00,1,43,713.7474611
15.00,1,44,713.5552511
15.00,1,45,713.5444939
15.00,1,46,713.3526124
15.00,1,47,713.3415791
15.00,1,48,713.1503158
15.00,1,49,713.1387221
15.00,1,50,712.9483608
15.00,1,51,712.93593
15.00,1,52,712.7467468
15.00,1,53,712.7332113
15.00,1,54,712.5454733
15.00,1,55,712.530576
15.00,1,56,712.3445398
15.00,1,57,712.3280352
15.00,1,58,712.1439461
15.00,1,59,712.1256013
15.00,1,60,711.9436919
15.00,1,61,711.9232875
15.00,1,62,711.743777
15.00,1,63,711.7211079
15.00,1,64,711.5442012
15.00,1,65,711.5190774
15.00,1,66,711.3449645
15.00,1,67,711.3172112
15.00,1,68,711.1460667
15.00,1,69,711.1155252
15.00,1,70,710.9475078
15.00,1,71,710.9140354
15.00,1,72,710.7492878
15.00,1,73,710.7127578
15.00,1,74,710.5514066
15.00,1,75,710.5117088
15.00,1,76,710.3538642
15.00,1,77,710.3109042
15.00,1,78,710.1566605
15.00,1,79,710.11036
15.00,1,80,709.9597955
15.00,1,81,709.9100917
15.00,1,82,709.7632691
15.00,1,83,709.7101143
15.00,1,84,709.5670811
15.00,1,85,709.5104424
15.00,1,86,709.3712315
15.00,1,87,709.31109
15.00,1,88,709.1757201
15.00,1,89,709.1120704
15.00,1,90,708.9805466
15.00,1,91,708.9133964
15.00,1,92,708.7857108
15.00,1,93,708.7150797
15.00,1,94,708.5912123
15.00,1,95,708.5171315
15.00,1,96,708.397051
15.00,1,97,708.319562
15.00,1,98,708.2032262
15.00,1,99,708.1223808
15.00,1,100,708.0097377
15.00,1,101,707.9255963
15.00,1,102,707.8165848
15.00,1,103,707.7292162
15.00,1,104,707.6237672
15.00,1,105,707.5332474
15.00,1,106,707.431284
15.00,1,107,707.337696
15.00,1,108,707.2391348
15.00,1,109,707.2354816
