SNR_dB,mc_idx,iter_idx,L_val
0.00,1,1,726.1467586
0.00,1,2,722.1064143
0.00,1,3,720.6096407
0.00,1,4,719.9053929
0.00,1,5,709.9905893
0.00,1,6,709.3260438
0.00,1,7,709.0803382
0.00,1,8,708.9015264
0.00,1,9,708.6804143
0.00,1,10,708.4900386
0.00,1,11,708.2313953
0.00,1,12,702.3456563
0.00,1,13,692.6247327
0.00,1,14,691.6372083
0.00,1,15,691.3269791
0.00,1,16,691.2318963
0.00,1,17,690.9684768
0.00,1,18,690.852698
0.00,1,19,690.6260598
0.00,1,20,690.4907136
0.00,1,21,690.2927638
0.00,1,22,690.1407739
0.00,1,23,689.9650422
0.00,1,24,689.3018905
0.00,1,25,687.5645067
0.00,1,26,677.1470857
0.00,1,27,676.4285783
0.00,1,28,676.2072289
0.00,1,29,676.0788827
0.00,1,30,676.0637295
0.00,1,31,674.5242564
0.00,1,32,674.1929527
0.00,1,33,663.6297318
0.00,1,34,663.4214197
0.00,1,35,663.1099216
0.00,1,36,663.0827579
0.00,1,37,662.8265809
0.00,1,38,662.773826
0.00,1,39,662.5609228
0.00,1,40,662.4846381
0.00,1,41,662.3051444
0.00,1,42,662.2092383
0.00,1,43,662.0552433
0.00,1,44,661.9438039
0.00,1,45,661.809095
0.00,1,46,661.7990652
0.00,1,47,661.4618722
0.00,1,48,661.3294206
0.00,1,49,661.3074213
0.00,1,50,660.9812327
0.00,1,51,660.8528143
0.00,1,52,660.8151726
0.00,1,53,660.5049765
0.00,1,54,660.5024584
0.00,1,55,660.2534022
0.00,1,56,660.2103758
0.00,1,57,660.0065364
0.00,1,58,659.9337341
0.00,1,59,659.763302
0.00,1,60,659.6686644
0.00,1,61,659.5228985
0.00,1,62,659.4122913
0.00,1,63,659.2847321
0.00,1,64,659.2542164
0.00,1,65,658.943651
0.00,1,66,658.8185523
0.00,1,67,658.7746713
0.00,1,68,658.4758283
0.00,1,69,658.4668997
0.00,1,70,658.2296434
0.00,1,71,658.1811498
0.00,1,72,657.9882693
0.00,1,73,657.9113134
0.00,1,74,657.7505063
0.00,1,75,657.6530602
0.00,1,76,657.5154988
0.00,1,77,657.4033038
0.00,1,78,657.3963362
0.00,1,79,657.160216
0.00,1,80,657.1150927
0.00,1,81,656.9215853
0.00,1,82,656.8484677
0.00,1,83,656.686384
0.00,1,84,656.5927695
0.00,1,85,656.4538518
0.00,1,86,656.3452662
0.00,1,87,656.2234263
0.00,1,88,656.1843399
0.00,1,89,655.8915655
0.00,1,90,655.8870498
0.00,1,91,655.652094
0.00,1,92,655.609382
0.00,1,93,655.4170706
0.00,1,94,655.3463393
0.00,1,95,655.1854652
0.00,1,96,655.0942207
0.00,1,97,654.9565156
0.00,1,98,654.8502889
0.00,1,99,654.7296586
0.00,1,100,654.6951438
0.00,1,101,654.403682
0.00,1,102,654.4014085
0.00,1,103,654.167745
0.00,1,104,654.1272835
0.00,1,105,653.9362412
0.00,1,106,653.8677681
0.00,1,107,653.70814
0.00,1,108,653.6191597
0.00,1,109,653.4826792
0.00,1,110,653.3787202
0.00,1,111,653.2592956
0.00,1,112,653.2290849
0.00,1,113,652.9390199
0.00,1,114,652.9388618
0.00,1,115,652.7065303
0.00,1,116,652.6682186
0.00,1,117,652.4784558
0.00,1,118,652.412157
0.00,1,119,652.2537668
0.00,1,120,652.1669771
