SNR_dB,mc_idx,iter_idx,L_val
10.00,1,1,715.5337691
10.00,1,2,715.2329584
10.00,1,3,715.1064157
10.00,1,4,715.0633561
10.00,1,5,715.0442251
10.00,1,6,715.0339026
10.00,1,7,715.0137909
10.00,1,8,715.0051164
10.00,1,9,714.983561
10.00,1,10,714.9766351
10.00,1,11,714.9534214
10.00,1,12,714.9485028
10.00,1,13,714.9233843
10.00,1,14,714.9207713
10.00,1,15,714.8934639
10.00,1,16,714.8785099
10.00,1,17,714.8636047
10.00,1,18,714.8480079
10.00,1,19,714.8338717
10.00,1,20,714.8175462
10.00,1,21,714.8042803
10.00,1,22,714.7871287
10.00,1,23,714.7748473
10.00,1,24,714.7567599
10.00,1,25,714.7455917
10.00,1,26,714.7264451
10.00,1,27,714.7165348
10.00,1,28,714.6961897
10.00,1,29,714.6877003
10.00,1,30,714.6660002
10.00,1,31,714.6591147
10.00,1,32,714.6358836
10.00,1,33,714.6308075
10.00,1,34,714.6058477
10.00,1,35,714.6028114
10.00,1,36,714.5759012
10.00,1,37,714.5751629
10.00,1,38,714.5460539
10.00,1,39,714.5307475
10.00,1,40,714.5164009
10.00,1,41,714.500373
10.00,1,42,714.4868987
10.00,1,43,714.4700459
10.00,1,44,714.457568
10.00,1,45,714.4397719
10.00,1,46,714.4284324
10.00,1,47,714.4095574
10.00,1,48,714.3995191
10.00,1,49,714.3794101
10.00,1,50,714.3708593
10.00,1,51,714.3493384
10.00,1,52,714.3424888
10.00,1,53,714.3193524
10.00,1,54,714.3144492
10.00,1,55,714.2894636
10.00,1,56,714.286788
10.00,1,57,714.2596849
10.00,1,58,714.2595601
10.00,1,59,714.2300319
10.00,1,60,714.214518
10.00,1,61,714.2004352
10.00,1,62,714.1842175
10.00,1,63,714.1709714
10.00,1,64,714.1539588
10.00,1,65,714.1416558
10.00,1,66,714.1237459
10.00,1,67,714.1125056
10.00,1,68,714.0935835
10.00,1,69,714.0835398
10.00,1,70,714.0634766
10.00,1,71,714.0547798
10.00,1,72,714.0334309
10.00,1,73,714.0262491
10.00,1,74,714.0034526
10.00,1,75,713.9979741
10.00,1,76,713.9735488
10.00,1,77,713.9699839
10.00,1,78,713.9437272
10.00,1,79,713.9423106
10.00,1,80,713.9139962
10.00,1,81,713.8989557
10.00,1,82,713.8844443
10.00,1,83,713.868732
10.00,1,84,713.8550295
10.00,1,85,713.8385518
10.00,1,86,713.8257697
10.00,1,87,713.80842
10.00,1,88,713.7966855
10.00,1,89,713.7783423
10.00,1,90,713.7678007
10.00,1,91,713.7483252
10.00,1,92,713.7391422
10.00,1,93,713.7183761
10.00,1,94,713.7107412
10.00,1,95,713.6885036
10.00,1,96,713.682633
10.00,1,97,713.6587175
10.00,1,98,713.6548586
10.00,1,99,713.6290291
10.00,1,100,713.6274647
10.00,1,101,713.5994512
10.00,1,102,713.584409
10.00,1,103,713.5699223
10.00,1,104,713.5542502
10.00,1,105,713.5405099
10.00,1,106,713.5241285
10.00,1,107,713.5112268
10.00,1,108,713.4940475
10.00,1,109,713.4820875
10.00,1,110,713.4640111
10.00,1,111,713.4531081
10.00,1,112,713.4340234
10.00,1,113,713.4243063
10.00,1,114,713.4040892
10.00,1,115,713.3957018
