SNR_dB,mc_idx,iter_idx,L_val
0.00,1,1,780.0665773
0.00,1,2,779.9014716
0.00,1,3,779.8249233
0.00,1,4,779.772775
0.00,1,5,779.6934632
0.00,1,6,779.6445201
0.00,1,7,779.5622254
0.00,1,8,779.5167356
0.00,1,9,779.4312151
0.00,1,10,779.3894485
0.00,1,11,779.3004387
0.00,1,12,779.2626853
0.00,1,13,779.1699028
0.00,1,14,779.1364737
0.00,1,15,779.0396143
0.00,1,16,779.0108429
0.00,1,17,778.9095805
0.00,1,18,778.8858241
0.00,1,19,778.7798092
0.00,1,20,778.7614498
0.00,1,21,778.6503087
0.00,1,22,778.6377548
0.00,1,23,778.5210877
0.00,1,24,778.5147755
0.00,1,25,778.3921552
0.00,1,26,778.3278293
0.00,1,27,778.2637961
0.00,1,28,778.1976373
0.00,1,29,778.1358093
0.00,1,30,778.0676454
0.00,1,31,778.0082131
0.00,1,32,777.9378586
0.00,1,33,777.8810293
0.00,1,34,777.8082826
0.00,1,35,777.7542824
0.00,1,36,777.6789236
0.00,1,37,777.6279988
0.00,1,38,777.5497884
0.00,1,39,777.5022076
0.00,1,40,777.4208848
0.00,1,41,777.3769406
0.00,1,42,777.2922209
0.00,1,43,777.2522324
0.00,1,44,777.1638057
0.00,1,45,777.1281208
0.00,1,46,777.0356492
0.00,1,47,777.0046468
0.00,1,48,776.907762
0.00,1,49,776.8818556
0.00,1,50,776.7801561
0.00,1,51,776.7597962
0.00,1,52,776.6528444
0.00,1,53,776.6385222
0.00,1,54,776.5258408
0.00,1,55,776.5180919
0.00,1,56,776.3991608
0.00,1,57,776.3985692
0.00,1,58,776.2728213
0.00,1,59,776.2078596
0.00,1,60,776.1465865
0.00,1,61,776.0798611
0.00,1,62,776.0206803
0.00,1,63,775.9520473
0.00,1,64,775.8951137
0.00,1,65,775.8244212
0.00,1,66,775.7699007
0.00,1,67,775.696986
0.00,1,68,775.6450564
0.00,1,69,775.5697458
0.00,1,70,775.5205971
0.00,1,71,775.4427043
0.00,1,72,775.3965398
0.00,1,73,775.315866
0.00,1,74,775.272903
0.00,1,75,775.1892353
0.00,1,76,775.1497059
0.00,1,77,775.062817
0.00,1,78,775.0269689
0.00,1,79,774.9366162
0.00,1,80,774.9047138
0.00,1,81,774.8106384
0.00,1,82,774.7829632
0.00,1,83,774.684889
0.00,1,84,774.6617411
0.00,1,85,774.5593743
0.00,1,86,774.5410728
0.00,1,87,774.4341003
0.00,1,88,774.4209847
0.00,1,89,774.3090737
0.00,1,90,774.3015047
0.00,1,91,774.1843014
0.00,1,92,774.1826617
0.00,1,93,774.0597907
0.00,1,94,773.9965927
0.00,1,95,773.9358296
0.00,1,96,773.8708878
0.00,1,97,773.8122063
0.00,1,98,773.7453676
0.00,1,99,773.6889353
0.00,1,100,773.6200361
0.00,1,101,773.5660346
0.00,1,102,773.494898
0.00,1,103,773.4435238
0.00,1,104,773.3699582
0.00,1,105,773.3214246
0.00,1,106,773.2452223
0.00,1,107,773.1997602
0.00,1,108,773.1206964
0.00,1,109,773.0785562
0.00,1,110,772.9963869
0.00,1,111,772.9578398
0.00,1,112,772.8723011
0.00,1,113,772.8376412
0.00,1,114,772.7484466
0.00,1,115,772.7179926
0.00,1,116,772.624832
0.00,1,117,772.5989292
0.00,1,118,772.5014663
0.00,1,119,772.4804891
0.00,1,120,772.3783595
0.00,1,121,772.3627137
0.00,1,122,772.2555225
0.00,1,123,772.2456478
0.00,1,124,772.1329669
0.00,1,125,772.1293402
0.00,1,126,772.0107056
0.00,1,127,771.948794
0.00,1,128,771.8885264
0.00,1,129,771.8250969
0.00,1,130,771.766629
0.00,1,131,771.7015664
0.00,1,132,771.6450208
0.00,1,133,771.5782044
0.00,1,134,771.5237121
0.00,1,135,771.4550135
0.00,1,136,771.4027137
0.00,1,137,771.3319963
0.00,1,138,771.2820372
0.00,1,139,771.2091556
0.00,1,140,771.1616951
0.00,1,141,771.0864945
0.00,1,142,771.0417003
0.00,1,143,770.9640161
0.00,1,144,770.9220665
0.00,1,145,770.8417238
0.00,1,146,770.8028081
0.00,1,147,770.7196211
0.00,1,148,770.6839403
0.00,1,149,770.5977117
0.00,1,150,770.5654791
0.00,1,151,770.4759996
0.00,1,152,770.4474411
0.00,1,153,770.3544889
0.00,1,154,770.3298438
0.00,1,155,770.2331838
0.00,1,156,770.2127055
0.00,1,157,770.1120889
0.00,1,158,770.0960454
0.00,1,159,769.9912089
0.00,1,160,769.9798834
0.00,1,161,769.8705487
0.00,1,162,769.8642402
0.00,1,163,769.7501135
