SNR_dB,mc_idx,iter_idx,L_val
10.00,1,1,781.7458751
10.00,1,2,781.6014204
10.00,1,3,781.4993712
10.00,1,4,781.3370001
10.00,1,5,781.2578857
10.00,1,6,781.0735532
10.00,1,7,781.0212094
10.00,1,8,780.8109391
10.00,1,9,780.7900699
10.00,1,10,780.5492012
10.00,1,11,780.4636228
10.00,1,12,780.4052213
10.00,1,13,780.2771067
10.00,1,14,780.1594255
10.00,1,15,780.0153458
10.00,1,16,779.9177332
10.00,1,17,779.7543673
10.00,1,18,779.6808528
10.00,1,19,779.4942211
10.00,1,20,779.4496428
10.00,1,21,779.2349673
10.00,1,22,779.22513
10.00,1,23,778.9766788
10.00,1,24,778.8934159
10.00,1,25,778.8388369
10.00,1,26,778.7070257
10.00,1,27,778.594633
10.00,1,28,778.4482338
10.00,1,29,778.3535763
10.00,1,30,778.1901363
10.00,1,31,778.1160296
10.00,1,32,777.9327559
10.00,1,33,777.8824028
10.00,1,34,777.6761183
10.00,1,35,777.6531433
10.00,1,36,777.4202513
10.00,1,37,777.3359644
10.00,1,38,777.2770087
10.00,1,39,777.1546386
10.00,1,40,777.034583
10.00,1,41,776.8988233
10.00,1,42,776.7953188
10.00,1,43,776.6436993
10.00,1,44,776.5596757
10.00,1,45,776.3892977
10.00,1,46,776.3282006
10.00,1,47,776.1356559
10.00,1,48,776.101534
10.00,1,49,775.8828179
10.00,1,50,775.8804263
10.00,1,51,775.6308352
10.00,1,52,775.5498969
10.00,1,53,775.4969608
10.00,1,54,775.367614
10.00,1,55,775.2570512
10.00,1,56,775.115179
10.00,1,57,775.019566
10.00,1,58,774.8633652
10.00,1,59,774.7847198
10.00,1,60,774.6121853
10.00,1,61,774.5527528
10.00,1,62,774.3616532
10.00,1,63,774.3239199
10.00,1,64,774.111784
10.00,1,65,774.0984905
10.00,1,66,773.8625933
10.00,1,67,773.7809785
10.00,1,68,773.7243115
10.00,1,69,773.6036791
10.00,1,70,773.4867673
10.00,1,71,773.3545827
10.00,1,72,773.2516695
10.00,1,73,773.1061024
10.00,1,74,773.019302
10.00,1,75,772.8582565
10.00,1,76,772.7899981
10.00,1,77,772.6110668
10.00,1,78,772.5641378
10.00,1,79,772.3645582
10.00,1,80,772.3421554
10.00,1,81,772.1187594
10.00,1,82,772.0374289
10.00,1,83,771.979677
10.00,1,84,771.9764807
10.00,1,85,771.7715411
10.00,1,86,771.7558976
10.00,1,87,771.5268843
10.00,1,88,771.4465105
10.00,1,89,771.3903534
10.00,1,90,771.3901706
10.00,1,91,771.1811259
10.00,1,92,771.1707452
10.00,1,93,770.9375849
10.00,1,94,770.8580116
10.00,1,95,770.8030871
10.00,1,96,770.6840422
10.00,1,97,770.5682606
10.00,1,98,770.4402708
10.00,1,99,770.3349599
10.00,1,100,770.1970298
10.00,1,101,770.1032632
10.00,1,102,769.9543229
10.00,1,103,769.8732585
10.00,1,104,769.7121542
10.00,1,105,769.6450345
10.00,1,106,769.4705278
10.00,1,107,769.418681
10.00,1,108,769.2294477
10.00,1,109,769.1942881
10.00,1,110,768.9889182
10.00,1,111,768.9719445
10.00,1,112,768.7489431
10.00,1,113,768.6694073
10.00,1,114,768.6120957
10.00,1,115,768.6065627
10.00,1,116,768.4100813
10.00,1,117,768.383681
10.00,1,118,768.1710734
10.00,1,119,768.1627487
10.00,1,120,767.9326074
10.00,1,121,767.8542769
10.00,1,122,767.7989016
10.00,1,123,767.7969477
10.00,1,124,767.5957058
10.00,1,125,767.5752395
10.00,1,126,767.3581811
10.00,1,127,767.3553409
10.00,1,128,767.1211842
10.00,1,129,767.0437494
10.00,1,130,766.9896019
10.00,1,131,766.8749344
10.00,1,132,766.7607613
10.00,1,133,766.6381867
10.00,1,134,766.5332881
10.00,1,135,766.4019382
10.00,1,136,766.3072638
10.00,1,137,766.1661933
10.00,1,138,766.0827842
10.00,1,139,765.930957
10.00,1,140,765.8599521
10.00,1,141,765.6962349
10.00,1,142,765.6388794
10.00,1,143,765.4620331
10.00,1,144,765.4196869
10.00,1,145,765.2283584
10.00,1,146,765.2025054
10.00,1,147,764.9952181
10.00,1,148,764.9874763
10.00,1,149,764.7626204
10.00,1,150,764.6861735
10.00,1,151,764.6320356
10.00,1,152,764.628905
10.00,1,153,764.4337653
10.00,1,154,764.4128265
10.00,1,155,764.2020445
10.00,1,156,764.1987887
10.00,1,157,763.9708532
10.00,1,158,763.8951964
10.00,1,159,763.8420794
10.00,1,160,763.8404308
10.00,1,161,763.6438942
10.00,1,162,763.6251508
10.00,1,163,763.4135574
10.00,1,164,763.4117563
10.00,1,165,763.1837349
10.00,1,166,763.1085765
10.00,1,167,763.0558148
10.00,1,168,763.054131
10.00,1,169,762.8586884
10.00,1,170,762.8393594
10.00,1,171,762.629702
10.00,1,172,762.6262999
10.00,1,173,762.4012138
10.00,1,174,762.3262647
10.00,1,175,762.2732014
10.00,1,176,762.2699906
10.00,1,177,762.0781004
10.00,1,178,762.0554816
10.00,1,179,761.8504342
10.00,1,180,761.8425018
10.00,1,181,761.6232498
10.00,1,182,761.5482376
10.00,1,183,761.4942567
10.00,1,184,761.4881254
10.00,1,185,761.3020921
10.00,1,186,761.2736882
10.00,1,187,761.0757202
10.00,1,188,761.0605961
10.00,1,189,760.8498135
10.00,1,190,760.8488792
10.00,1,191,760.6243736
10.00,1,192,760.5504673
10.00,1,193,760.498044
10.00,1,194,760.4944181
10.00,1,195,760.305542
10.00,1,196,760.2810833
10.00,1,197,760.0808923
10.00,1,198,760.0689527
10.00,1,199,759.8566931
10.00,1,200,759.7821299
10.00,2,1,740.2406673
10.00,2,2,740.0380476
10.00,2,3,739.9270329
10.00,2,4,739.8611424
10.00,2,5,739.8527099
10.00,2,6,739.7602958
10.00,2,7,739.6986296
10.00,2,8,739.6757877
10.00,2,9,739.5928116
10.00,2,10,739.5370965
10.00,2,11,739.5015658
10.00,2,12,739.4295348
10.00,2,13,739.3766288
10.00,2,14,739.3321177
10.00,2,15,739.2662013
10.00,2,16,739.2548076
10.00,2,17,739.1633582
10.00,2,18,739.1046906
10.00,2,19,739.0779837
10.00,2,20,738.999813
10.00,2,21,738.944396
10.00,2,22,738.9069742
10.00,2,23,738.8359737
10.00,2,24,738.7847829
10.00,2,25,738.7381638
10.00,2,26,738.6750026
10.00,2,27,738.6613973
10.00,2,28,738.5739462
10.00,2,29,738.514655
10.00,2,30,738.4877595
10.00,2,31,738.409005
10.00,2,32,738.3550796
10.00,2,33,738.3166423
10.00,2,34,738.247792
10.00,2,35,738.1964561
10.00,2,36,738.1498326
10.00,2,37,738.0865908
10.00,2,38,738.070377
10.00,2,39,737.9837291
10.00,2,40,737.92704
10.00,2,41,737.8968943
10.00,2,42,737.8222852
10.00,2,43,737.7686025
10.00,2,44,737.7286584
10.00,2,45,737.660648
10.00,2,46,737.6571354
10.00,2,47,737.561006
10.00,2,48,737.5010048
10.00,2,49,737.4806884
10.00,2,50,737.399198
10.00,2,51,737.3426732
10.00,2,52,737.3106493
10.00,2,53,737.2369021
10.00,2,54,737.1850483
10.00,2,55,737.1429013
10.00,2,56,737.0778068
10.00,2,57,737.0722856
10.00,2,58,736.9802789
10.00,2,59,736.9193277
10.00,2,60,736.8992134
10.00,2,61,736.8166283
10.00,2,62,736.7616529
10.00,2,63,736.7287597
10.00,2,64,736.6571841
10.00,2,65,736.6050054
10.00,2,66,736.5630821
10.00,2,67,736.4976208
10.00,2,68,736.4895811
10.00,2,69,736.3980073
10.00,2,70,736.339882
10.00,2,71,736.3163573
10.00,2,72,736.2382307
10.00,2,73,736.1833553
10.00,2,74,736.148989
10.00,2,75,736.078071
10.00,2,76,736.0274954
10.00,2,77,735.9837694
10.00,2,78,735.920835
10.00,2,79,735.9113043
10.00,2,80,735.8232395
10.00,2,81,735.764194
10.00,2,82,735.7411044
10.00,2,83,735.6618418
10.00,2,84,735.6083122
