SNR_dB,mc_idx,iter_idx,L_val
5.00,1,1,784.2556667
5.00,1,2,784.0485231
5.00,1,3,783.9107983
5.00,1,4,783.8097896
5.00,1,5,783.730713
5.00,1,6,783.6636164
5.00,1,7,783.6035339
5.00,1,8,783.5647385
5.00,1,9,783.4814206
5.00,1,10,783.4119247
5.00,1,11,783.3505388
5.00,1,12,783.3216705
5.00,1,13,783.2334553
5.00,1,14,783.16119
5.00,1,15,783.0982985
5.00,1,16,783.0807089
5.00,1,17,782.9868972
5.00,1,18,782.9114603
5.00,1,19,782.8468407
5.00,1,20,782.8420445
5.00,1,21,782.7418541
5.00,1,22,782.6627946
5.00,1,23,782.5961978
5.00,1,24,782.5364728
5.00,1,25,782.4981168
5.00,1,26,782.4150759
5.00,1,27,782.3463044
5.00,1,28,782.2853803
5.00,1,29,782.2560355
5.00,1,30,782.1684956
5.00,1,31,782.0972658
5.00,1,32,782.0349808
5.00,1,33,782.0157193
5.00,1,34,781.923114
5.00,1,35,781.8491157
5.00,1,36,781.7852926
5.00,1,37,781.7772896
5.00,1,38,781.6789971
5.00,1,39,781.6018903
5.00,1,40,781.5363347
5.00,1,41,781.477512
5.00,1,42,781.4366005
5.00,1,43,781.3558502
5.00,1,44,781.2882547
5.00,1,45,781.2283363
5.00,1,46,781.1957523
5.00,1,47,781.1108923
5.00,1,48,781.0409908
5.00,1,49,780.9798302
5.00,1,50,780.9565552
5.00,1,51,780.8670748
5.00,1,52,780.7945748
5.00,1,53,780.7320107
5.00,1,54,780.7191255
5.00,1,55,780.6244623
5.00,1,56,780.5490416
5.00,1,57,780.4848968
5.00,1,58,780.4835885
5.00,1,59,780.3831246
5.00,1,60,780.3044286
5.00,1,61,780.2385087
5.00,1,62,780.179602
5.00,1,63,780.142808
5.00,1,64,780.060595
5.00,1,65,779.9927676
5.00,1,66,779.9328187
5.00,1,67,779.9038274
5.00,1,68,779.8177117
5.00,1,69,779.7477668
5.00,1,70,779.6866569
5.00,1,71,779.6662407
5.00,1,72,779.5758107
5.00,1,73,779.5035242
5.00,1,74,779.4411258
5.00,1,75,779.4301138
5.00,1,76,779.334927
5.00,1,77,779.2600585
5.00,1,78,779.196235
5.00,1,79,779.1955141
5.00,1,80,779.0950965
5.00,1,81,779.0173889
5.00,1,82,778.9519942
5.00,1,83,778.8937413
5.00,1,84,778.8567624
5.00,1,85,778.7757678
5.00,1,86,778.7085457
5.00,1,87,778.6493203
5.00,1,88,778.6196808
5.00,1,89,778.535052
5.00,1,90,778.4658057
5.00,1,91,778.4055001
5.00,1,92,778.3839047
5.00,1,93,778.2952715
5.00,1,94,778.2237904
5.00,1,95,778.1622894
5.00,1,96,778.1494957
5.00,1,97,778.05646
5.00,1,98,777.9825174
5.00,1,99,777.919697
5.00,1,100,777.9165175
5.00,1,101,777.8186523
5.00,1,102,777.7420049
5.00,1,103,777.6777325
5.00,1,104,777.6202269
5.00,1,105,777.5815836
5.00,1,106,777.5021065
5.00,1,107,777.4363142
5.00,1,108,777.3779906
5.00,1,109,777.3455216
5.00,1,110,777.2629666
5.00,1,111,777.1955206
5.00,1,112,777.1363038
5.00,1,113,777.1104859
5.00,1,114,777.0245962
5.00,1,115,776.9553575
5.00,1,116,776.895169
5.00,1,117,776.8765009
5.00,1,118,776.7870076
5.00,1,119,776.7158309
5.00,1,120,776.6545887
5.00,1,121,776.64359
5.00,1,122,776.5502125
5.00,1,123,776.4769466
5.00,1,124,776.4145655
5.00,1,125,776.4117754
5.00,1,126,776.3142219
5.00,1,127,776.2387098
5.00,1,128,776.1751012
5.00,1,129,776.1183522
5.00,1,130,776.0794144
5.00,1,131,776.0013352
5.00,1,132,775.9363166
5.00,1,133,775.8788298
5.00,1,134,775.8455242
5.00,1,135,775.7646685
5.00,1,136,775.6981224
5.00,1,137,775.6398341
5.00,1,138,775.6125661
5.00,1,139,775.5287182
5.00,1,140,775.460523
5.00,1,141,775.4013671
5.00,1,142,775.3805597
5.00,1,143,775.2934946
5.00,1,144,775.2235231
5.00,1,145,775.1634306
5.00,1,146,775.1495241
5.00,1,147,775.0590073
5.00,1,148,774.9871272
5.00,1,149,774.9260264
5.00,1,150,774.9194778
5.00,1,151,774.825266
5.00,1,152,774.7513397
5.00,1,153,774.6891562
5.00,1,154,774.6333661
5.00,1,155,774.592013
5.00,1,156,774.5160189
5.00,1,157,774.4527416
5.00,1,158,774.3963771
5.00,1,159,774.3594753
5.00,1,160,774.2812868
5.00,1,161,774.2168481
5.00,1,162,774.1598719
5.00,1,163,774.1276489
5.00,1,164,774.0471412
5.00,1,165,773.9814744
5.00,1,166,773.923849
5.00,1,167,773.8965333
5.00,1,168,773.8135811
5.00,1,169,773.746619
5.00,1,170,773.6883071
5.00,1,171,773.6661269
5.00,1,172,773.5806046
5.00,1,173,773.5122803
5.00,1,174,773.4532445
5.00,1,175,773.4364266
5.00,1,176,773.3482091
5.00,1,177,773.2784562
5.00,1,178,773.2186593
5.00,1,179,773.2074276
5.00,1,180,773.1163912
5.00,1,181,773.0451438
5.00,1,182,772.9845492
5.00,1,183,772.9791236
5.00,1,184,772.8851463
5.00,1,185,772.8123401
5.00,1,186,772.750912
5.00,1,187,772.6959885
5.00,1,188,772.6547939
5.00,1,189,772.5802249
5.00,1,190,772.517848
